pixel_id;day;temp_max;temp_min;temp_avg;precip_quantity;humidity_relative;sun_duration;short_wave_from_sky;evapotrans_ref
1;2014/06/01;22.15;9.07;15.65;0;69.66;7.34;6.13;3.89
1;2014/06/02;22.79;5.15;13.97;0;65.3;14.02;7.61;4.5
1;2014/06/03;21.27;6.59;13.93;3.14;75.03;5.32;4.36;2.87
1;2014/06/04;17.16;9.55;13.35;17.92;95.4;.75;2.68;1.48
1;2014/06/05;18.72;5.09;11.91;0;71.13;8.85;6.26;3.51
1;2014/06/06;26.41;4.35;15.67;.01;63.91;13.66;7.69;4.9
1;2014/06/07;27.96;10.4;19.29;0;70.96;11.09;6.56;4.55
1;2014/06/08;30.5;13.46;22.08;0;76.77;12.22;7.24;5.07
1;2014/06/09;31.28;16.17;23.73;.12;71.41;11.79;7.25;5.41
1;2014/06/10;28.76;17.47;22.94;18.83;69.24;10.62;6.82;5.06
1;2014/06/11;24.96;16.07;20.52;.01;79.56;11.54;7.07;4.51
1;2014/06/12;25.77;13.31;19.54;0;65.26;13.69;7.47;5.08
1;2014/06/13;24.54;10.38;17.46;0;62.14;14.24;7.87;5.11
1;2014/06/14;20.19;10.03;15.11;0;72.89;4.51;4.89;3.25
1;2014/06/15;20.94;8.61;15.12;.01;68.05;10.08;5.12;3.54
1;2014/06/16;21.19;10.34;15.68;0;71.1;11.6;5.74;3.75
1;2014/06/17;20.87;10.35;15.61;0;71.78;9.22;8.44;4.68
1;2014/06/18;22.54;11.19;16.87;0;68.98;12.23;7.06;4.45
1;2014/06/19;23.44;8.31;15.87;0;73.58;10.98;6.97;4.19
1;2014/06/20;19.51;12.98;16.25;0;70.39;5.23;5.15;3.43
1;2014/06/21;22.98;5.53;14.21;.01;59.12;13.45;7.73;4.71
1;2014/06/22;24.34;6.14;15.24;0;58.45;13.16;7.65;4.88
1;2014/06/23;24.31;8.22;16.27;0;57.62;9.85;6.96;4.82
1;2014/06/24;25.25;7.91;16.58;0;64.35;12.01;7.18;4.74
1;2014/06/25;20.08;10.93;16.14;0;58.89;10.35;8.12;4.89
1;2014/06/26;23.72;4.86;14.29;0;52.13;13.94;7.81;4.99
1;2014/06/27;24.27;8.63;16.76;.02;69.21;5.75;5.16;3.6
1;2014/06/28;17.55;10.24;13.9;16.32;96.22;0;1.21;.99
1;2014/06/29;19.54;12.85;16.19;3.66;90.41;2.79;3.42;2.1
1;2014/06/30;20.57;11.03;15.94;0;74.67;7.27;5.62;3.49
2;2014/06/01;20.97;9.02;14.98;0;70.94;6.81;5.95;3.71
2;2014/06/02;21.88;5.66;13.77;0;66.59;13.51;7.41;4.34
